cue	response	R1	N	R1.Strength
a gusto	agustin	1	70	0.0142857142857143
a gusto	alegre	1	70	0.0142857142857143
a gusto	amistad	1	70	0.0142857142857143
a gusto	bien	1	70	0.0142857142857143
a gusto	birn	1	70	0.0142857142857143
a gusto	cómoda	1	70	0.0142857142857143
a gusto	comodidad	1	70	0.0142857142857143
a gusto	complacido	1	70	0.0142857142857143
a gusto	confortable	1	70	0.0142857142857143
a gusto	conocer	1	70	0.0142857142857143
a gusto	darse	1	70	0.0142857142857143
a gusto	disfrutar	1	70	0.0142857142857143
a gusto	elección	1	70	0.0142857142857143
a gusto	encantado	1	70	0.0142857142857143
a gusto	frutilla	1	70	0.0142857142857143
a gusto	granizado	1	70	0.0142857142857143
a gusto	grato	1	70	0.0142857142857143
a gusto	gustoso	1	70	0.0142857142857143
a gusto	helado	1	70	0.0142857142857143
a gusto	me encanta	1	70	0.0142857142857143
a gusto	muy bien	1	70	0.0142857142857143
a gusto	piola	1	70	0.0142857142857143
a gusto	rico	1	70	0.0142857142857143
a gusto	sastifactoriamente	1	70	0.0142857142857143
a gusto	satifecho	1	70	0.0142857142857143
a gusto	segun el deseo	1	70	0.0142857142857143
a gusto	siempre	1	70	0.0142857142857143
a gusto	vacaciones	1	70	0.0142857142857143
a mano	cerca	16	68	0.235294117647059
a mano	artesanal	4	68	0.0588235294117647
a mano	igual	3	68	0.0441176470588235
a mano	manual	3	68	0.0441176470588235
a mano	al alcance	2	68	0.0294117647058824
a mano	cercano	2	68	0.0294117647058824
a mano	hecho	2	68	0.0294117647058824
a mano	igualdad	2	68	0.0294117647058824
a mano	iguales	2	68	0.0294117647058824
a mano	justo	2	68	0.0294117647058824
a mano	listo	2	68	0.0294117647058824
a mano	accesible	1	68	0.0147058823529412
a mano	agua	1	68	0.0147058823529412
a mano	ahora	1	68	0.0147058823529412
a mano	alcance	1	68	0.0147058823529412
a mano	ayuda	1	68	0.0147058823529412
a mano	buena actitud	1	68	0.0147058823529412
a mano	casero	1	68	0.0147058823529412
a mano	constancia	1	68	0.0147058823529412
a mano	continuo	1	68	0.0147058823529412
a mano	cosa	1	68	0.0147058823529412
a mano	de igual manera	1	68	0.0147058823529412
a mano	deuda	1	68	0.0147058823529412
a mano	diestro	1	68	0.0147058823529412
a mano	disponible	1	68	0.0147058823529412
a mano	dos manos	1	68	0.0147058823529412
a mano	empardados	1	68	0.0147058823529412
a mano	escribir	1	68	0.0147058823529412
a mano	favor	1	68	0.0147058823529412
a mano	herramienta	1	68	0.0147058823529412
a mano	mueble	1	68	0.0147058823529412
a mano	parte del cuerpo	1	68	0.0147058823529412
a mano	pelea	1	68	0.0147058823529412
a mano	presente	1	68	0.0147058823529412
a mano	próximo	1	68	0.0147058823529412
a mano	quedamos	1	68	0.0147058823529412
a mano	rápido	1	68	0.0147058823529412
a mano	tejer	1	68	0.0147058823529412
a mano	única	1	68	0.0147058823529412
a medias	mitad	9	64	0.140625
a medias	sin terminar	7	64	0.109375
a medias	inconcluso	5	64	0.078125
a medias	casi	4	64	0.0625
a medias	incompleto	4	64	0.0625
a medias	la mitad	2	64	0.03125
a medias	1 entero	1	64	0.015625
a medias	amor	1	64	0.015625
a medias	aproximado	1	64	0.015625
a medias	como siempre	1	64	0.015625
a medias	compañerismo	1	64	0.015625
a medias	compartido	1	64	0.015625
a medias	compartis	1	64	0.015625
a medias	desgana	1	64	0.015625
a medias	dividir	1	64	0.015625
a medias	en parte	1	64	0.015625
a medias	feo	1	64	0.015625
a medias	fue	1	64	0.015625
a medias	hacer las cosas	1	64	0.015625
a medias	incompleta	1	64	0.015625
a medias	mas o menos	1	64	0.015625
a medias	màs o menos	1	64	0.015625
a medias	media	1	64	0.015625
a medias	medianamente	1	64	0.015625
a medias	mediocre	1	64	0.015625
a medias	mentira	1	64	0.015625
a medias	mi vida	1	64	0.015625
a medias	mitades	1	64	0.015625
a medias	naranja	1	64	0.015625
a medias	negocios	1	64	0.015625
a medias	obra	1	64	0.015625
a medias	parcial	1	64	0.015625
a medias	partes	1	64	0.015625
a medias	pendiente	1	64	0.015625
a medias	por la mitad	1	64	0.015625
a medias	sexo	1	64	0.015625
a medias	sin terminsr	1	64	0.015625
a medias	sociedad	1	64	0.015625
a medias	vamos	1	64	0.015625
a menudo	seguido	14	67	0.208955223880597
a menudo	frecuentemente	10	67	0.149253731343284
a menudo	a veces	8	67	0.119402985074627
a menudo	frecuente	6	67	0.0895522388059701
a menudo	siempre	5	67	0.0746268656716418
a menudo	con frecuencia	3	67	0.0447761194029851
a menudo	cotidiano	2	67	0.0298507462686567
a menudo	aveces	1	67	0.0149253731343284
a menudo	aveses	1	67	0.0149253731343284
a menudo	bravo	1	67	0.0149253731343284
a menudo	casi	1	67	0.0149253731343284
a menudo	eguido	1	67	0.0149253731343284
a menudo	error	1	67	0.0149253731343284
a menudo	frecientemente	1	67	0.0149253731343284
a menudo	generalmente	1	67	0.0149253731343284
a menudo	hola	1	67	0.0149253731343284
a menudo	menudo	1	67	0.0149253731343284
a menudo	normalmente	1	67	0.0149253731343284
a menudo	ocasionalmemte	1	67	0.0149253731343284
a menudo	pensar	1	67	0.0149253731343284
a menudo	pienso	1	67	0.0149253731343284
a menudo	pollo	1	67	0.0149253731343284
a menudo	pronto	1	67	0.0149253731343284
a menudo	próximo	1	67	0.0149253731343284
a menudo	salgo	1	67	0.0149253731343284
a menudo	tiempo	1	67	0.0149253731343284
a punto	justo	14	69	0.202898550724638
a punto	listo	11	69	0.159420289855072
a punto	carne	6	69	0.0869565217391304
a punto	cocido	5	69	0.072463768115942
a punto	exacto	5	69	0.072463768115942
a punto	pronto	3	69	0.0434782608695652
a punto	al dente	2	69	0.0289855072463768
a punto	asado	2	69	0.0289855072463768
a punto	comida	2	69	0.0289855072463768
a punto	fideos	2	69	0.0289855072463768
a punto	perfecto	2	69	0.0289855072463768
a punto	puntual	2	69	0.0289855072463768
a punto	a tiempo	1	69	0.0144927536231884
a punto	bien cocido	1	69	0.0144927536231884
a punto	caramelo	1	69	0.0144927536231884
a punto	casi	1	69	0.0144927536231884
a punto	cicatriz	1	69	0.0144927536231884
a punto	completo	1	69	0.0144927536231884
a punto	correcto	1	69	0.0144927536231884
a punto	costura	1	69	0.0144927536231884
a punto	crudo	1	69	0.0144927536231884
a punto	eficaz	1	69	0.0144927536231884
a punto	en punto	1	69	0.0144927536231884
a punto	fin	1	69	0.0144927536231884
a punto	terminado	1	69	0.0144927536231884
a través	por medio de	9	65	0.138461538461538
a través	mediante	5	65	0.0769230769230769
a través	entre	4	65	0.0615384615384615
a través	por medio	3	65	0.0461538461538462
a través	tiempo	3	65	0.0461538461538462
a través	atravesar	2	65	0.0307692307692308
a través	cruzar	2	65	0.0307692307692308
a través	de	2	65	0.0307692307692308
a través	pasar	2	65	0.0307692307692308
a través	vidrio	2	65	0.0307692307692308
a través	al revés	1	65	0.0153846153846154
a través	atravesado	1	65	0.0153846153846154
a través	camino	1	65	0.0153846153846154
a través	canal	1	65	0.0153846153846154
a través	con alguien	1	65	0.0153846153846154
a través	consecuencia	1	65	0.0153846153846154
a través	cruzando	1	65	0.0153846153846154
a través	del tiempo	1	65	0.0153846153846154
a través	dentro	1	65	0.0153846153846154
a través	derecho	1	65	0.0153846153846154
a través	después	1	65	0.0153846153846154
a través	detras de algo	1	65	0.0153846153846154
a través	entremedio	1	65	0.0153846153846154
a través	espejo	1	65	0.0153846153846154
a través	expresarse	1	65	0.0153846153846154
a través	hacia otro lado	1	65	0.0153846153846154
a través	medio	1	65	0.0153846153846154
a través	mirada	1	65	0.0153846153846154
a través	nexo	1	65	0.0153846153846154
a través	otra vez	1	65	0.0153846153846154
a través	pared	1	65	0.0153846153846154
a través	pasar dentro	1	65	0.0153846153846154
a través	permanencia	1	65	0.0153846153846154
a través	por	1	65	0.0153846153846154
a través	río	1	65	0.0153846153846154
a través	separado	1	65	0.0153846153846154
a través	sobre	1	65	0.0153846153846154
a través	traspasar	1	65	0.0153846153846154
a través	ventana	1	65	0.0153846153846154
a través	vía	1	65	0.0153846153846154
a través	x eso	1	65	0.0153846153846154
a veces	no siempre	6	67	0.0895522388059701
a veces	siempre	6	67	0.0895522388059701
a veces	tiempo	4	67	0.0597014925373134
a veces	a menudo	3	67	0.0447761194029851
a veces	de vez en cuando	3	67	0.0447761194029851
a veces	nunca	3	67	0.0447761194029851
a veces	algunas	2	67	0.0298507462686567
a veces	cada tanto	2	67	0.0298507462686567
a veces	gano	2	67	0.0298507462686567
a veces	ocasional	2	67	0.0298507462686567
a veces	poco	2	67	0.0298507462686567
a veces	raramente	2	67	0.0298507462686567
a veces	tal vez	2	67	0.0298507462686567
a veces	usualmente	2	67	0.0298507462686567
a veces	a veces	1	67	0.0149253731343284
a veces	adverbio	1	67	0.0149253731343284
a veces	aleatorio	1	67	0.0149253731343284
a veces	canto	1	67	0.0149253731343284
a veces	discontinuo	1	67	0.0149253731343284
a veces	dudas	1	67	0.0149253731343284
a veces	en algunos momentos	1	67	0.0149253731343284
a veces	eventualmente	1	67	0.0149253731343284
a veces	fortuito	1	67	0.0149253731343284
a veces	frecuencia	1	67	0.0149253731343284
a veces	frecuentemente	1	67	0.0149253731343284
a veces	ganó	1	67	0.0149253731343284
a veces	gradualmente	1	67	0.0149253731343284
a veces	inconstancia	1	67	0.0149253731343284
a veces	no tengo tiempo	1	67	0.0149253731343284
a veces	ocación	1	67	0.0149253731343284
a veces	ocasionalmente	1	67	0.0149253731343284
a veces	ocasiones	1	67	0.0149253731343284
a veces	posibilidad	1	67	0.0149253731343284
a veces	quizás	1	67	0.0149253731343284
a veces	recurrente	1	67	0.0149253731343284
a veces	salir	1	67	0.0149253731343284
a veces	siento	1	67	0.0149253731343284
a veces	sometimes	1	67	0.0149253731343284
a veces	temporalmente	1	67	0.0149253731343284
a veces	voy	1	67	0.0149253731343284
abajo	arriba	27	68	0.397058823529412
abajo	debajo	7	68	0.102941176470588
abajo	piso	5	68	0.0735294117647059
abajo	inferior	4	68	0.0588235294117647
abajo	bajar	2	68	0.0294117647058824
abajo	lugar	2	68	0.0294117647058824
abajo	mesa	2	68	0.0294117647058824
abajo	suelo	2	68	0.0294117647058824
abajo	ariba	1	68	0.0147058823529412
abajo	bajo	1	68	0.0147058823529412
abajo	chico	1	68	0.0147058823529412
abajo	cubierto	1	68	0.0147058823529412
abajo	de bajo de	1	68	0.0147058823529412
abajo	debajo de	1	68	0.0147058823529412
abajo	descender	1	68	0.0147058823529412
